RespondentID,Age,Gender,HouseholdSize,Occupation,Q1_CurrentApproachNutritiousMeals,Q2_PrioritizeNutritionalNeeds,Q3_FactorsInfluencingPurchase,Q4_UsedMobilePlatformExperience,Q5_WillingnessToPayForService,Q6_ApproachEnsuringDiverseDiet,Q7_FactorsInfluencingChoices,Q8_UsedMobilePlatformsForPlanning,Q9_MissingFoodsInChildDiet,Q10_WillingnessToPayBundles,Q11_RecentFoodChoiceExperience,Q12_ChallengesProvidingNutritiousMeals,Q13_InfoSourcesForNutrition,Q14_FeaturesDesiredInMobilePlatform,Q15_WillingnessToPayEducationService
1,43,Female,4,Domestic worker,Beans and lentils are my main source of protein for the children.,"Affordability always comes first, then nutrition if possible.",I avoid foods that spoil too quickly.,I don’t trust online platforms to deliver fresh food.,At most 100 KES weekly depending on my income.,"I rotate between rice, ugali, and beans depending on prices.",Freshness of food matters when I can afford it.,I would use if bundles included affordable staple foods.,Eggs are rare due to high cost.,50 KES extra is my maximum for delivery.,Last week I bought beans instead of meat due to price.,Markets are far and transport adds cost.,I listen to radio programs about child health.,Cash-on-delivery option is important.,"I cannot pay extra, but free access would help."
2,23,Male,5,Housewife,"I prioritize milk when I have money, even if I skip other foods myself.",I prioritize milk and eggs for my children whenever I can afford them.,Discounts and promotions influence my choice.,"I once tried ordering through a neighbor, but delivery was late.",I could pay up to 200 KES weekly if food quality is guaranteed.,Sometimes I rely on neighbors’ advice for affordable variety.,I often choose based on convenience and distance.,I would use if bundles included affordable staple foods.,Chicken or fish are missing most weeks.,200 KES weekly for consistent bundles is fair.,I chose milk over vegetables because my child was sick.,Fuel costs make cooking beans difficult.,I sometimes read posters in health centers.,Simple interface easy for non-smartphone users.,I’d pay only if it reduces my expenses overall.
3,39,Female,7,Domestic worker,I try to grow a few vegetables in sacks to supplement meals.,I consider what lasts longer in storage when making decisions.,Freshness and cleanliness of food are important.,I would try if cash-on-delivery was an option.,At most 100 KES weekly depending on my income.,I mix maize with sukuma and beans when possible.,I often choose based on convenience and distance.,I have never used an app for food planning.,Eggs are rare due to high cost.,I cannot afford more than 50 KES currently.,I opted for sukuma wiki as the cheapest option available.,I lack stable income to plan meals regularly.,I learn from other mothers in the community.,Cash-on-delivery option is important.,150 KES monthly is acceptable with clear benefits.
4,30,Female,6,Housewife,I try to grow a few vegetables in sacks to supplement meals.,I prioritize milk and eggs for my children whenever I can afford them.,I prefer sellers who allow credit when I don’t have cash.,Delivery fees are too high for me to consider using apps.,I would only pay if bundles save me money overall.,"I rotate between rice, ugali, and beans depending on prices.",I buy foods that last longer in storage.,I would try if instructions were simple and in local language.,Eggs are rare due to high cost.,200 KES weekly for consistent bundles is fair.,I bought maize flour in bulk because it was discounted.,Fuel costs make cooking beans difficult.,I get advice from local clinics during checkups.,Recipes using cheap ingredients would help me.,150 KES monthly is acceptable with clear benefits.
5,23,Female,5,Domestic worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.","Affordability always comes first, then nutrition if possible.",Freshness and cleanliness of food are important.,I am interested but need help understanding how to use them.,I could pay up to 200 KES weekly if food quality is guaranteed.,Sometimes I rely on neighbors’ advice for affordable variety.,Children’s preferences matter in my decisions.,I have never used an app for food planning.,Eggs are rare due to high cost.,I cannot afford more than 50 KES currently.,Last week I bought beans instead of meat due to price.,I lack stable income to plan meals regularly.,I learn from other mothers in the community.,Affordable bundle suggestions would attract me.,"I cannot pay extra, but free access would help."
6,29,Male,3,Domestic worker,Beans and lentils are my main source of protein for the children.,Sometimes I buy based on what children prefer to eat.,Discounts and promotions influence my choice.,I am interested but need help understanding how to use them.,At most 100 KES weekly depending on my income.,Sometimes I rely on neighbors’ advice for affordable variety.,Children’s preferences matter in my decisions.,I once used an SMS-based system but stopped due to cost.,Chicken or fish are missing most weeks.,I cannot afford more than 50 KES currently.,I chose milk over vegetables because my child was sick.,Food spoils quickly without refrigeration.,I listen to radio programs about child health.,Recipes using cheap ingredients would help me.,I’d pay only if it reduces my expenses overall.
7,27,Male,3,Casual worker,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",I try to buy fruits occasionally when extra money is available.,I prefer sellers who allow credit when I don’t have cash.,I don’t trust online platforms to deliver fresh food.,I would only pay if bundles save me money overall.,I mix maize with sukuma and beans when possible.,Price is the strongest influence.,I have never used an app for food planning.,Fruits like bananas and oranges are not regular in our diet.,50 KES extra is my maximum for delivery.,I bought maize flour in bulk because it was discounted.,I lack stable income to plan meals regularly.,I sometimes read posters in health centers.,Nutrition education in local language is valuable.,I’d pay only if it reduces my expenses overall.
8,38,Female,5,Casual worker,"I prioritize milk when I have money, even if I skip other foods myself.",Sometimes I buy based on what children prefer to eat.,Freshness and cleanliness of food are important.,I would try if cash-on-delivery was an option.,50 KES extra for delivery would be acceptable.,Limited income prevents me from achieving diversity regularly.,Freshness of food matters when I can afford it.,I have never used an app for food planning.,Chicken or fish are missing most weeks.,150 KES weekly is reasonable if children’s diets improve.,I reduced portion sizes so all children could eat.,Limited availability of fresh foods in my area.,"I rarely use formal platforms, mostly word of mouth.",Cash-on-delivery option is important.,I’d pay only if it reduces my expenses overall.
9,42,Female,7,Domestic worker,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",I try to buy fruits occasionally when extra money is available.,I avoid foods that spoil too quickly.,Delivery fees are too high for me to consider using apps.,I cannot pay extra due to my low income.,Limited income prevents me from achieving diversity regularly.,Freshness of food matters when I can afford it.,I would use if bundles included affordable staple foods.,"Milk is often missing, which worries me for growth.",I would only pay if overall costs reduce my market spending.,I bought maize flour in bulk because it was discounted.,High prices prevent me from buying protein foods.,I learn from other mothers in the community.,Affordable bundle suggestions would attract me.,I’d pay only if it reduces my expenses overall.
10,36,Female,5,Casual worker,Beans and lentils are my main source of protein for the children.,I prioritize milk and eggs for my children whenever I can afford them.,Discounts and promotions influence my choice.,I would try if cash-on-delivery was an option.,I would only pay if bundles save me money overall.,"I rotate between rice, ugali, and beans depending on prices.",Freshness of food matters when I can afford it.,I would use if bundles included affordable staple foods.,Vegetables other than sukuma wiki are not common in our meals.,I cannot afford more than 50 KES currently.,I chose milk over vegetables because my child was sick.,Limited availability of fresh foods in my area.,I ask health workers when they visit.,Nutrition education in local language is valuable.,"I cannot pay extra, but free access would help."
11,31,Female,4,Domestic worker,Beans and lentils are my main source of protein for the children.,I prioritize milk and eggs for my children whenever I can afford them.,Discounts and promotions influence my choice.,I would try if cash-on-delivery was an option.,At most 100 KES weekly depending on my income.,Sometimes I rely on neighbors’ advice for affordable variety.,Children’s preferences matter in my decisions.,I saw a neighbor use an app and it seemed useful.,Chicken or fish are missing most weeks.,100 KES weekly if delivery is reliable.,Last week I bought beans instead of meat due to price.,Fuel costs make cooking beans difficult.,I ask health workers when they visit.,Cash-on-delivery option is important.,I’d pay only if it reduces my expenses overall.
